cod_distrito,cod_concelho,cod_localidade,nome_localidade,cod_arteria,tipo_arteria,prep1,titulo_arteria,prep2,nome_arteria,local_arteria,troco,porta,cliente,num_cod_postal,ext_cod_postal,desig_postal
01,01,249,Alcafaz,,,,,,,,,,,3750,011,AGADÃO
01,01,250,Caselho,,,,,,,,,,,3750,012,AGADÃO
01,01,251,Corga da Serra,,,,,,,,,,,3750,013,AGADÃO
01,01,252,Foz,,,,,,,,,,,3750,014,AGADÃO
01,01,253,Guistola,,,,,,,,,,,3750,015,AGADÃO
01,01,254,Guistolinha,,,,,,,,,,,3750,016,AGADÃO
01,01,255,Lomba,,,,,,,,,,,3750,017,AGADÃO
01,01,256,Povinha,,,,,,,,,,,3750,018,AGADÃO
01,01,257,Vila Mendo,,,,,,,,,,,3750,019,AGADÃO
01,01,258,Aguada de Baixo,,,,,,,,,,PC AGUADA DE BAIXO,3750,996,AGUADA DE BAIXO
01,01,258,Aguada de Baixo,,,,,,,,,,,3750,031,AGUADA DE BAIXO
01,01,260,Landiosa,,,,,,,,,,,3750,033,AGUADA DE BAIXO
01,01,262,Passadouro,,,,,,,,,,,3750,035,AGUADA DE BAIXO
01,01,263,Aguada de Cima,,,,,,,,,,PC AGUADA DE CIMA,3750,998,AGUADA DE CIMA
01,01,263,Aguada de Cima,,,,,,,,,,,3750,041,AGUADA DE CIMA
01,01,264,Aguadalte,,,,,,,,,,,3750,042,AGUADA DE CIMA
01,01,265,Almas da Areosa,,,,,,,,,,,3750,043,AGUADA DE CIMA
01,01,266,Bustelo,,,,,,,,,,,3750,044,AGUADA DE CIMA
01,01,267,Cabeço Grande,,,,,,,,,,,3750,045,AGUADA DE CIMA
01,01,268,Cadaval,,,,,,,,,,,3750,046,AGUADA DE CIMA
01,01,269,Canavai,,,,,,,,,,,3750,047,AGUADA DE CIMA
01,01,270,Carvalhitos,,,,,,,,,,,3750,048,AGUADA DE CIMA
01,01,271,Engenho,,,,,,,,,,,3750,049,AGUADA DE CIMA
01,01,272,Forcada,,,,,,,,,,,3750,050,AGUADA DE CIMA
01,01,273,Formigueiro,,,,,,,,,,,3750,051,AGUADA DE CIMA
01,01,274,Forno,,,,,,,,,,,3750,052,AGUADA DE CIMA
01,01,275,Garrido ,,,,,,,,,,,3750,053,AGUADA DE CIMA
01,01,276,Insuas,,,,,,,,,,,3750,054,AGUADA DE CIMA
01,01,277,Miragaia,,,,,,,,,,,3750,055,AGUADA DE CIMA
01,01,278,Pisão,,,,,,,,,,,3750,056,AGUADA DE CIMA
01,01,279,Pousadouros,,,,,,,,,,,3750,057,AGUADA DE CIMA
01,01,280,Póvoa de Baixo,,,,,,,,,,,3750,058,AGUADA DE CIMA
01,01,281,Póvoa do Teso,,,,,,,,,,,3750,059,AGUADA DE CIMA
01,01,282,Póvoa São Domingos,,,,,,,,,,,3750,060,AGUADA DE CIMA
01,01,283,Póvoa do Vale do Trigo,15315100,Beco,das,,,Flores,,,,,3750,364,BELAZAIMA DO CHÃO
