municipality_code;code;type;name;cities
4301;9700-301;Altares;38.791;-27.2992
4301;9700-009;Angra do heroísmo;38.6636;-27.2294
4301;9700-321;Cinco ribeiras;38.6866;-27.3193
4301;9700-331;Doze ribeiras;38.7152;-27.3595
4301;9700-128;Feteira;38.6535;-27.1529
4301;9700-362;Porto judeu;38.6479;-27.1221
4301;9700-605;Porto novo;38.6783;-27.0696
4301;9700-401;Raminho;38.7881;-27.3301
4301;9700-411;Ribeirinha;38.6623;-27.1809
4301;9700-471;Santa bárbara;38.697;-27.3425
4301;9700-501;São bartolomeu;38.6848;-27.2823
4301;9700-556;São francisco das almas;41.1442;-8.53371
4301;9700-551;São mateus;38.6565;-27.2698
4301;9700-153;São sebastião;38.6681;-27.0897
4301;9700-661;Serreta;38.7465;-27.3654
4301;9700-681;Terra chã;38.6722;-27.2529
